opportunity_id,account_name,region,industry,owner,lead_source,stage,amount,created_date,close_date,is_closed,is_won,notes
OPP-1000,Zenith Group,EMEA,Retail,D. Patel,Web,Closed Won,10914,2024-12-09,2025-12-04,True,True,"Champion left the company, deal stalled."
OPP-1001,Zenith Industries,LATAM,Healthcare,D. Patel,Outbound,Prospecting,5298,2024-09-20,2025-12-21,False,False,"Renewal likely, happy with support."
OPP-1002,Cobalt Group,APAC,Technology,A. Rao,Partner,Closed Lost,39393,2024-03-23,2026-03-07,True,False,Competitor Nimbus offered lower price.
OPP-1003,Summit Industries,EMEA,Retail,C. Mehta,Outbound,Proposal,248177,2025-10-09,2026-09-04,False,False,Waiting on legal review of MSA.
OPP-1004,Vertex Industries,EMEA,Manufacturing,C. Mehta,Partner,Closed Won,118933,2026-02-02,2026-02-28,True,True,Waiting on legal review of MSA.
OPP-1005,Vertex Corp,NA,Healthcare,D. Patel,Partner,Qualification,25874,2025-04-22,2025-10-21,False,False,"Renewal likely, happy with support."
OPP-1006,Acme Systems,APAC,Manufacturing,C. Mehta,Web,Closed Lost,12804,2026-12-18,2026-01-08,True,False,Lost on missing SOC2 compliance.
OPP-1007,Nova Industries,NA,Finance,B. Singh,Referral,Closed Lost,12684,2026-12-11,2026-07-21,True,False,"Renewal likely, happy with support."
OPP-1008,Meridian Corp,EMEA,Technology,B. Singh,Referral,Closed Won,23898,2025-10-13,2025-09-16,True,True,Price too high vs competitor Vega.
OPP-1009,Acme Corp,EMEA,Retail,C. Mehta,Event,Closed Won,40167,2025-07-20,2026-09-28,True,True,Competitor Nimbus offered lower price.
OPP-1010,Vertex Labs,EMEA,Finance,E. Shah,Outbound,Qualification,121587,2024-08-01,2026-09-25,False,False,Lost on missing SOC2 compliance.
OPP-1011,Pinnacle Labs,EMEA,Technology,C. Mehta,Event,Qualification,76762,2024-09-25,2025-10-11,False,False,Lost on missing SOC2 compliance.
OPP-1012,Meridian Group,NA,Manufacturing,E. Shah,Referral,Prospecting,119990,2026-02-03,2025-09-25,False,False,"Renewal likely, happy with support."
OPP-1013,Nova Corp,APAC,Manufacturing,E. Shah,Partner,Negotiation,76093,2026-07-07,2025-12-10,False,False,Competitor Nimbus offered lower price.
OPP-1014,Acme Corp,EMEA,Technology,B. Singh,Web,Qualification,75268,2024-06-01,2025-10-08,False,False,"Champion left the company, deal stalled."
OPP-1015,Meridian Group,LATAM,Healthcare,D. Patel,Partner,Closed Lost,25740,2024-09-08,2026-04-18,True,False,Lost on missing SOC2 compliance.
OPP-1016,Zenith Group,EMEA,Technology,D. Patel,Event,Prospecting,39683,2026-07-12,2026-12-02,False,False,Competitor Nimbus offered lower price.
OPP-1017,Orion Corp,EMEA,Manufacturing,E. Shah,Web,Qualification,11728,2024-09-15,2025-05-15,False,False,"Champion left the company, deal stalled."
OPP-1018,Pinnacle Labs,LATAM,Healthcare,D. Patel,Web,Closed Won,251476,2026-01-03,2025-03-14,True,True,"Budget approved, moving to procurement."
OPP-1019,Cobalt Labs,LATAM,Healthcare,B. Singh,Event,Proposal,249863,2025-05-26,2026-07-23,False,False,Lost on missing SOC2 compliance.
OPP-1020,Atlas Systems,LATAM,Retail,E. Shah,Referral,Closed Lost,6063,2026-12-18,2026-01-02,True,False,"Champion left the company, deal stalled."
OPP-1021,Atlas Labs,NA,Retail,E. Shah,Web,Closed Lost,73278,2024-03-03,2025-07-04,True,False,Competitor Nimbus offered lower price.
OPP-1022,Cobalt Corp,APAC,Healthcare,C. Mehta,Partner,Proposal,26828,2026-10-17,2026-04-22,False,False,"Budget approved, moving to procurement."
OPP-1023,Atlas Industries,EMEA,Technology,E. Shah,Referral,Closed Won,251832,2025-08-11,2025-01-15,True,True,"Renewal likely, happy with support."
OPP-1024,Pinnacle Industries,APAC,Retail,E. Shah,Web,Prospecting,24167,2025-02-08,2025-08-27,False,False,"Renewal likely, happy with support."
OPP-1025,Meridian Industries,APAC,Finance,E. Shah,Referral,Closed Lost,6644,2024-03-09,2025-12-18,True,False,Waiting on legal review of MSA.
OPP-1026,Nova Systems,APAC,Technology,A. Rao,Event,Qualification,39028,2026-05-17,2025-02-21,False,False,"Budget approved, moving to procurement."
OPP-1027,Meridian Systems,EMEA,Healthcare,E. Shah,Web,Closed Won,40259,2025-03-24,2026-09-01,True,True,Waiting on legal review of MSA.
OPP-1028,Vertex Group,NA,Technology,C. Mehta,Outbound,Closed Won,4262,2024-07-05,2026-01-12,True,True,Price too high vs competitor Vega.
OPP-1029,Vertex Labs,APAC,Manufacturing,B. Singh,Event,Closed Lost,248665,2026-03-08,2025-07-01,True,False,"Budget approved, moving to procurement."
OPP-1030,Nova Industries,APAC,Finance,B. Singh,Referral,Closed Won,6516,2024-07-28,2026-04-07,True,True,"Champion left the company, deal stalled."
OPP-1031,Pinnacle Systems,LATAM,Retail,C. Mehta,Web,Closed Won,248284,2025-06-09,2026-06-21,True,True,Competitor Nimbus offered lower price.
OPP-1032,Summit Systems,APAC,Manufacturing,E. Shah,Outbound,Closed Lost,23156,2025-03-19,2025-10-14,True,False,Competitor Nimbus offered lower price.
OPP-1033,Pinnacle Industries,NA,Finance,D. Patel,Web,Proposal,5903,2026-04-09,2026-01-17,False,False,Waiting on legal review of MSA.
OPP-1034,Summit Corp,LATAM,Finance,E. Shah,Referral,Closed Won,25077,2026-02-24,2026-11-14,True,True,Lost on missing SOC2 compliance.
OPP-1035,Acme Corp,APAC,Finance,B. Singh,Partner,Proposal,12521,2025-11-24,2026-07-18,False,False,Waiting on legal review of MSA.
